City,Country,Latitude,Longitude
Enschede,Netherlands,52.2215,6.8937
Athens,Greece,37.9838,23.7275
Messina,Italy,38.1938,15.5540
Aberdeen,United Kingdom,57.1497,-2.0943
Oslo,Norway,59.9139,10.7522
Reggio Calabria,Italy,38.1113,15.6619
Lisbon,Portugal,38.7223,-9.1393
Perugia,Italy,43.1122,12.3888
Bari,Italy,41.1171,16.8719
Salerno,Italy,40.6824,14.7681
Naples,Italy,40.8518,14.2681
Rome,Italy,41.9028,12.4964
Milan,Italy,45.4642,9.1900
Skopje,North Macedonia,41.9981,21.4254
Oxford,United Kingdom,51.7520,-1.2577
Hong Kong,"Hong Kong SAR, China",22.3193,114.1694
Montpellier,France,43.6108,3.8767
Bath,United Kingdom,51.3811,-2.3590
London,United Kingdom,51.5074,-0.1278
Trento,Italy,46.0679,11.1211
Rijeka,Croatia,45.3271,14.4422
Cosenza,Italy,39.3086,16.2537
Florence,Italy,43.7696,11.2558
Lecce,Italy,40.3515,18.1750
Barcelona,Spain,41.3851,2.1734
Delft,Netherlands,52.0116,4.3571
Prague,Czech Republic,50.0755,14.4378
Karlsruhe,Germany,49.0069,8.4037
Southampton,United Kingdom,50.9097,-1.4044
Glasgow,United Kingdom,55.8642,-4.2518
Cambridge,United Kingdom,52.2053,0.1218
Aachen,Germany,50.7753,6.0839
