Name,Institution,City,Country,Profile
Floriana Anselmucci,University of Twente,Enschede,Netherlands,https://people.utwente.nl/f.a.r.anselmucci
Georgios Belokas,University of West Attica,Athens,Greece,https://civ.uniwa.gr/en/profile/belokas-georgios/
Giovanni Biondi,University of Messina,Messina,Italy,https://www.unime.it/it/persona/giovanni-biondi
David Boldrin,The James Hutton Institute,Aberdeen,United Kingdom,https://www.hutton.ac.uk/people/david-boldrin/
Vittoria Capobianco,Norwegian Geotechnical Institute,Oslo,Norway,https://www.researchgate.net/profile/Vittoria-Capobianco
Giuseppe Cardile,Mediterranea University of Reggio Calabria,Reggio Calabria,Italy,https://unirc.unifind.cineca.it/individual?uri=http%3A%2F%2Firises.unirc.it%2Fresource%2Fperson%2F1468
Rafaela Cardoso,"CERIS / Instituto Superior Técnico, University of Lisbon",Lisbon,Portugal,https://fenix.tecnico.ulisboa.pt/homepage/ist13977
Manuela Cecconi,Università di Perugia,Perugia,Italy,https://www.unipg.it/personale/manuela.cecconi
Federica Cotecchia,Politecnico di Bari,Bari,Italy,http://www.dicatech.poliba.it/index.php?id=80&idp=188
Sabatino Cuomo,University of Salerno,Salerno,Italy,https://docenti.unisa.it/020363/en/curriculum
Pantaleone De Vita,University of Naples Federico II,Naples,Italy,https://www.docenti.unina.it/pantaleone.devita
Silvano Emanuele Donvito,Politecnico di Bari,Bari,Italy,
Alessandro Fraccica,ISPRA,Rome,Italy,https://www.researchgate.net/profile/Alessandro-Fraccica
Andrea Galli,Politecnico di Milano,Milan,Italy,https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=500&k_doc=73404
Josif Josifovski,Ss. Cyril and Methodius University in Skopje,Skopje,North Macedonia,https://gf.ukim.edu.mk/en/professor/%D0%B4-%D1%80-%D1%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D1%81%D0%BA%D0%B8-%D1%98%D0%BE%D1%81%D0%B8%D1%84/
Jonathan Knappett,University of Oxford,Oxford,United Kingdom,https://eng.ox.ac.uk/people/jonathan-knappett
Anthony Leung,The Hong Kong University of Science and Technology,Hong Kong,"Hong Kong SAR, China",https://facultyprofiles.hkust.edu.hk/profiles.php?profile=anthony-kwan-leung-ceanthony
Zhun Mao,INRAE – UMR AMAP,Montpellier,France,https://amap.cirad.fr/en/annuaire2.php?lettre=M
Gerrit Meijer,University of Bath,Bath,United Kingdom,https://researchportal.bath.ac.uk/en/persons/gerrit-meijer/
Luca Pagano,University of Naples Federico II,Naples,Italy,https://www.docenti.unina.it/luca.pagano
Vincenzo Pane,Università di Perugia,Perugia,Italy,http://www.diei.unipg.it/it/aree/geotecnica/itemlist/user/157-panevincenzo
Heleni Pantelidou,Arup,London,United Kingdom,https://www.researchgate.net/profile/Heleni-Pantelidou
Giuseppe Pedone,University of Trento,Trento,Italy,https://webapps.unitn.it/du/en/Persona/PER0243767
Josip Peranić,University of Rijeka,Rijeka,Croatia,https://gradri.uniri.hr/en/faculty/organisation/departments/department-for-hydrotechnics-and-geotechnics/
Pasquale Perrini,Consorzio Interuniversitario per l'Idrologia,Cosenza,Italy,
Marianna Pirone,University of Naples Federico II,Naples,Italy,https://www.docenti.unina.it/marianna.pirone
Federico Preti,"University of Florence, DAGRI",Florence,Italy,https://cercachi.unifi.it/p-doc2-2016-200001-P-3f2a3d31332d2e-0.html
Guido Rianna,CMCC Foundation,Lecce,Italy,https://www.cmcc.it/people/rianna-guido
Riccardo Rigon,University of Trento,Trento,Italy,https://webapps.unitn.it/du/en/Persona/PER0004267
Enrique Romero,Universitat Politècnica de Catalunya / CIMNE,Barcelona,Spain,https://futur.upc.edu/EnriqueEdgarRomeroMorales
Hubert Savenije,Delft University of Technology,Delft,Netherlands,https://www.tudelft.nl/en/staff/h.h.g.savenije/
Gianvito Scaringi,Charles University,Prague,Czech Republic,https://cuni.cz/UKEN-2124.html
Volker Schlüter,Federal Waterways Engineering and Research Institute (BAW),Karlsruhe,Germany,https://ufersicherung-baw-bfg.baw.de/binnenbereich/de/kontakt
Joel Smethurst,University of Southampton,Southampton,United Kingdom,https://www.southampton.ac.uk/people/5wynyr/professor-joel-smethurst
Nico Stasi,Politecnico di Bari,Bari,Italy,https://www.researchgate.net/profile/Nico-Stasi-2
Vito Tagarelli,Politecnico di Bari,Bari,Italy,https://resources.dicatechpoliba.it/index.php?id=462&idp=546
Alessandro Tarantino,University of Strathclyde,Glasgow,United Kingdom,https://www.strath.ac.uk/staff/tarantinoalessandroprof/
Katerina Tsiampousi,Imperial College London,London,United Kingdom,https://profiles.imperial.ac.uk/aikaterini.tsiampousi05
Gianfranco Urciuoli,University of Naples Federico II,Naples,Italy,https://www.iris.unina.it/cris/rp/rp26842
Marco Uzielli,University of Florence,Florence,Italy,https://cercachi.unifi.it/p-doc2-0-0-A-3f2b3a31372b30.html
Jean Vaunat,Universitat Politècnica de Catalunya,Barcelona,Spain,https://futur.upc.edu/JeanVaunat?locale=en
Giulia Viggiani,University of Cambridge,Cambridge,United Kingdom,https://www.eng.cam.ac.uk/profiles/gv278
Anil Yildiz,RWTH Aachen University,Aachen,Germany,https://www.mbd.rwth-aachen.de/cms/mbd/der-lehrstuhl/team/~qqcsz/anil-yildiz/?lidx=1&allou=1
Lidija Zdravkovic,Imperial College London,London,United Kingdom,https://profiles.imperial.ac.uk/l.zdravkovic
